,path,split_path,size
0,Eukarya,['Eukarya'],2619
1,Eukarya/Metazoa,"['Eukarya', 'Metazoa']",1119
2,Eukarya/Metazoa/Arthropoda,"['Eukarya', 'Metazoa', 'Arthropoda']",302
3,Eukarya/Metazoa/Arthropoda/Insecta,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta']",292
4,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera']",245
5,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae']",92
6,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis']",1
7,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51048916258_8576436df0.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51048916258_8576436df0.jpg']",1
8,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51048915908_b99525164d.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51048915908_b99525164d.jpg']",1
9,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Argynnis/https:||live.staticflickr.com|65535|51049644511_fac95bbbac.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Nymphalidae', 'Argynnis', 'https:||live.staticflickr.com|65535|51049644511_fac95bbbac.jpg']",1
10,Eukarya/Viridiplantae,"['Eukarya', 'Viridiplantae']",1407
11,Eukarya/Viridiplantae/Streptophyta,"['Eukarya', 'Viridiplantae', 'Streptophyta']",1405
12,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida']",1353
13,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Zingiberales,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Zingiberales']",12
14,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Zingiberales/Heliconiaceae,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Zingiberales', 'Heliconiaceae']",2
15,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Zingiberales/Heliconiaceae/Heliconia,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Zingiberales', 'Heliconiaceae', 'Heliconia']",1
16,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Zingiberales/Heliconiaceae/Heliconia/https:||live.staticflickr.com|65535|51049727652_e36f4a6707.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Zingiberales', 'Heliconiaceae', 'Heliconia', 'https:||live.staticflickr.com|65535|51049727652_e36f4a6707.jpg']",1
